"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"8006898D3E","64120000-3","SERVIZI DI CORRIERE","AFFIDAMENTO DEL SERVIZIO DI RITIRO E CONSEGNA DI PLICHI E PACCHI DELL'A.O.U.C. POLICLINICO DI BARI (TRAMITE CORRIERE)"
"7978639530","45454100-5","LAVORI DI RESTAURO","LAVORI DI EFFICIENTAMENTO ENERGETICO E MIGLIORAMENTO DELLA QUALITÀ DEGLI AMBIENTI SCOLASTICI DA ESEGUIRE PRESSO L'EDIFICIO SCOLASTICO IN VIA MARTIRI DI VIA FANI"
"801378616A","45321000-3","LAVORI DI ISOLAMENTO TERMICO","PIANO REGIONALE EDILIZIA SCOLASTICA 2015/2017. INTERVENTO DI EFFICIENTAMENTO ENERGETICO DELLA SCUOLA MARIA 'SAN DOMENICO SAVIO' "
"8020846382","30210000-4","MACCHINE PER L'ELABORAZIONE DI DATI (HARDWARE)","FORNITURA ATTREZZATURE INFORMATICHE"
"7991747640","71410000-5","SERVIZI DI URBANISTICA","PROCEDURA APERTA PER L'AFFIDAMENTO DELLA REDAZIONE DEL DPP, PROGETTAZIONE DEL PUG, DEL RAPPORTO AMBIENTALE PER LA VAS  (COMPRENSIVA DI VINCA)."
"8017690717","85311100-3","SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE","GESTIONE DEL SERVIZIO DI ASSISTENZA  DOMICILIARE SAD E ADI  ANNO 2019"
"7988753F83","50712000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI","SERVIZIO DI MANUTENZIONE E CONTROLLO DI IMPIANTI E PRESIDI ANTINCENDIO PER VARIE STRUTTURE DI PERTINENZA DELLA ASL BR"
"7966648DE4","38120000-2","STRUMENTI METEOROLOGICI","FORNITURA DI STAZIONI METEO-SINOTTICHE E TELECAMERE IP PER FINALITÀ DI MONITORAGGIO E SENSORI DI ALLARME PER INCENDI BOSCHIVI"
"796376746D","38430000-8","APPARECCHI PER ANALISI E RIVELAZIONE","FORNITURA IN NOLEGGIO PER ANNI TRE CON L'OPZIONE DI ULTERIORI 2 ANNI DI UNA PIATTAFORMA AUTOMATIZZATA PER IL SEQUENZIAMENTO NGS E RELATIVO MATERIALE DI CONSUMO PER LE NECESSITÀ DELLA S.C. ANATOMIA PATOLOGICA DELL'ASL TA"
"7968312B12","33124110-9","SISTEMI DIAGNOSTICI","PROCEDURA APERTA PER LA FORNITURA IN SERVICE DI SISTEMI POINT OF CARE TESTING (P.O.C.T.)"
"8012527274","66510000-8","SERVIZI ASSICURATIVI","POLIZZA TUTELA LEGALE"
"80060143C1","45351000-2","LAVORI DI INSTALLAZIONE DI INGEGNERIA MECCANICA","FPO IMPIANTO MONTALETTIGHE PRESSO IL PO CAMBERLINGO DI FRANCAVILLA F.NA"
"802452712B","45454100-5","LAVORI DI RESTAURO","LAVORI DI ADEGUAMENTO DELLA SCUOLA MEDIA 'ALESSANDRO MANZONI' ALLE VIGENTI DEPOSIZIONI IN TEMA DI SICUREZZA E IGIENE DEL LAVORO O ALLE NORME PER L'ABBATTIMENTO DELLE BARRIERE ARCHITETTONICHE"
"8008742EF5","79620000-6","SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO","SOMMINISTRAZIONE DI LAVORO A TEMPO DETERMINATO."
"79912468CF","45243400-6","LAVORI DI CONSOLIDAMENTO DI SPIAGGE","INTERVENTI DI RIQUALIFICAZIONE E RIGENERAZIONE TERRITORIALE DELL'AMBITO COSTIERO "
"7976682638","45454100-5","LAVORI DI RESTAURO","LAVORI DI RISTRUTTURAZIONE E ADEGUAMENTO IMPIANTI ELETTRICI E ANTINCENDIO DA ESEGUIRE PRESSO L'EDIFICIO SCOLASTICO E. DE AMICIS"
"8012637D37","34134200-7","AUTOCARRI A CASSONE RIBALTABILE","FORNITURA DI N. 1 AUTOCARRO CABINATO IVECO DAILY 35C12 EURO 6 O EQUIVALENTE"
"797904650E","33150000-6","DISPOSITIVI PER RADIOTERAPIA, MECCANOTERAPIA, ELETTROTERAPIA E TERAPIA FISICA","FORNITURA DI DPI PIOMBATI E SERVIZIO FULL RISK DI CONTROLLO PROTEXIMETRICO, LAVAGGIO E SANIFICAZIONE PER LA DURATA DI 5 ANNI"
"7988398A90","45246400-7","LAVORI DI DIFESA DALLE PIENE","MITIGAZIONE DEL RISCHIO IDRAULICO CANALE CIAPPETTA-CAMAGGIO - INT. 5 DA COMPLANARE SS 16 BIS A SS 1710"
"7979681114","33191000-5","APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE","PROCEDURA NEGOZIATA PER LA FORNITURA, DA AFFIDARE CON IL CRITERIO DEL MINOR PREZZO, DEL SERVICE TRIENNALE DI UNA STERILIZZATRICE PER ENDOSCOPI, IN LOTTO UNICO E INDIVISIBILE, DA DESTINARSI ALLA SSD ENDOSCOPIA DIGESTIVA DELL'ISTITUTO"
"7990222BC6","34121000-1","AUTOBUS E PULLMAN","ACQUISTO SCUOLABUS 28 POSTI + 2 CON PERMUTA DI MEZZO USATO"
"7959666C2A","33153000-7","LITOTRITORE","PROCEDURA APERTA TELEMATICA, AI SENSI DELL'ART. 60, COMMA 1, DEL D.LGS. N. 50/2016, PER L'AFFIDAMENTO DELLA FORNITURA IN NOLEGGIO DI UN SISTEMA DI LITOTRISSIA EXTRACORPOREA PER L'U.O.C. DI UROLOGIA DEL P.O. DI CERIGNOLA "
"7996486CFD","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FOGLI DI DIGA VERDI-DIGA IVORY - PINZA FORADIGA O EQUVALENTE- UNCINI PER DIGA IVORY LOTTO 1"
"7996353F3B","33692300-0","ALIMENTI ENTERALI","LOTTO 1   - DIETA ALIMENTARE O SEMIELEMENTARE PER SONDA"
"79956646A9","64110000-0","SERVIZI POSTALI","SERVIZI POSTALI PER LA CORRISPONDENZA DELLA ASL FG"
"8020917E16","33621000-9","MEDICINALI PER IL SANGUE E GLI ORGANI CHE FORMANO IL SANGUE",".BERINERT 500 UI "
"7958872CEF","33141400-4","TAGLIAFILO E BISTURI, GUANTI CHIRURGICI","GUANTI MONOUSO IN PLASTICA  NON STERILI  LOTTO 1"
"8003058C60","45314200-3","INSTALLAZIONE DI LINEE TELEFONICHE","RIFUNZIONALIZZAZIONE ED AMMODERNAMENTO DEL SISTEMA DI CHIAMATA  INFERMIERI PER 4 REPARTI DEL PERRINO DI BRINDISI"
"8012228BB3","66515100-4","SERVIZI DI ASSICURAZIONE CONTRO GLI INCENDI","POLIZZA GLOBALE FABBRICATI"
"8004650E22","45212350-4","EDIFICI DI PARTICOLARE INTERESSE STORICO O ARCHITETTONICO","GRUMO IN RETE VALORIZZAZIONE DEL MUSEO DELLA CIVILTA' CONTADINA E SVILUPPO DEL PAESAGGIO RURALE CON REALIZZAZIONE DI SERVIZI TECNOLOGICI NELLA FRAZIONE DI MELLITTO"
"7980566B64","45233253-7","LAVORI DI SUPERFICIE PER STRADE PEDONALI","LAVORI DI COMPLETAMENTO DELLA SISTEMAZIONE DEL LITORALE AD EST DI TRANI TRA LIDO COLONNA ED IL CONFINE CON IL TERRITORIO DI BISCEGLIE LOTTI 1-2-3-4-8"
"7963194B90","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","FORNITURA DI N. 4 MICROSCOPI OPERATORI PER LA U.O.C. DI OTORINOLARINGOIATRIA UNIVERSITARIA"
"7971245F74","73210000-7","SERVIZI DI CONSULENZA NEL CAMPO DELLA RICERCA","RICOGNIZIONE, ANALISI E PROGETTAZIONE DI MODULI FORMATIVI DEL SISTEMA MODA REGIONALE."
"79293155BC","60440000-4","SERVIZI AEREI E AFFINI","ART. 36 C. 2 LETT. B DEL D.LGS 50/2016 - AVVISO DI MANIFESTAZIONE DI INTERESSE PER L'AFFIDAMENTO DEL SERVIZIO DI MONITORAGGIO E VERIFICA TECNICA E AMMINISTRATIVO-CONTABILE DEL SERVIZIO DI GESTIONE, MANUTENZIONE ORDINARIA E STRAORDINARIA, CONTROLLO E CUSTODIA DELLE SUPERFICI ELIPORTUALI DELLA REGIONE PUGLIA"
"7983158662","45214210-5","LAVORI DI COSTRUZIONE DI SCUOLE ELEMENTARI","PIANO TRIENNALE REGIONALE 2015/2017 DI EDILIZIA SCOLASTICA -. SCUOLA ELEMENTARE "
"7983844C7B","90910000-9","SERVIZI DI PULIZIA","AFFIDAMENTO IN APPALTO SERVIZI DI PULIZIA UFFICI COMUNALI E BAGNI PUBBLICI"
"8008673607","45350000-5","IMPIANTI MECCANICI","RICONVERSIONE DEL P.O. FALLACARA DI TRIGGIANO (BA) - CENTRO RISVEGLI - LAVORI PER L"
"79804099D5","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZI TECNICI DI ARCHITETTURA E INGEGNERIA CONNESSI ALLA MESSA IN SICUREZZA DELLA DISCARICA DI GIOVINAZZO (BA) IN LOCALITÀ 'SAN PIETRO PAGO'"
"8001589022","45233141-9","LAVORI DI MANUTENZIONE STRADALE","LAVORI DI RIPRISTINO STRADE ESTERNE DANNEGGIATE DA EVENTI CALAMITOSI - STATO DI EMERGENZA PER EVENTI METEORICI DEL 15 E 16 LUGLIO 2016. DECRETO COMMISSARIALE DIP. PP.CC. N. 452/2017"
"7956365819","39155000-3","ARREDI PER BIBLIOTECA","'APPALTO FORNITURE PRESSO LA BIBLIOTECA COMUNALE G. PANUNZIO'"
"79525961D4","45223000-6","LAVORI DI COSTRUZIONE DI STRUTTURE EDILI","AEROPORTO DI FOGGIA G. LISA –  PROCEDURA APERTA PER L’AFFIDAMENTO DELLA ESECUZIONE DEI  LAVORI DI ADEGUAMENTO SISMICO DELL’AEROSTAZIONE DELL’AEROPORTO DI FOGGIA G. LISA "
"7973242F6E","71323200-0","SERVIZI DI PROGETTAZIONE TECNICA DI IMPIANTI","SERVIZIO DI INGEGNERIA E ARCHITETTURA DI REDAZIONE DEL PROGETTO DI FATTIBILITÀ TECNICA ED ECONOMICA DELL'IMPIANTO DI TRATTAMENTO E RECUPERO FORSU DA UBICARSI IN FOGGIA"
"7959630E74","33120000-7","SISTEMI DI REGISTRAZIONE E DISPOSITIVI DI ESPLORAZIONE","PROCEDURA NEGOZIATA AI SENSI DELL'ART. 36 COMMA 1, LETT. B) DEL D.LGS. N. 50/2016 PER LA FORNITURA IN NOLEGGIO DI N. 3 SEPARATORI CELLULARI, COMPRENSIVO DI ASSISTENZA TECNICA 'FULL-RISK', DEI CONTROLLI DI QUALITÀ E DELLA FORNITURA DI MATERIALE DI CONSUMO "
"7978896944","77313000-7","SERVIZI DI MANUTENZIONE PARCHI","AFFIDAMENTO SERVIZIO DI MANUTENZIONE DEL VERDE PUBBLICO PER LA DURATA DI UN TRIENNIO"
"7960440AE4","45351000-2","LAVORI DI INSTALLAZIONE DI INGEGNERIA MECCANICA","LAVORI DI 'RIQUALIFICAZIONE E ATTIVAZIONE DELLE OTTO SALE OPERATORIE ALL'INTERNO DEL BLOCCO OPERATORIO' SECONDO LE LINEA GUIDA ISPESL DEL 2009 - UNI 11425 DEL 2011 E LA NORMA UNI EN ISO 14644 DEL 2016 - STANDARDS ISO5."
"797719800B","71330000-0","VARI SERVIZI DI INGEGNERIA","PROCEDURA APERTA TELEMATICA EMPULIA PER L'AFFIDAMENTO DEL SERVIZIO DI DIREZIONE LAVORI RELATIVA AGLI 'INTERVENTI PER ADEGUAMENTO ALLE NORME TECNICHE DI PREVENZIONE INCENDI AI SENSI DEL D.M. 19/03/2015 DEL PRESIDIO SAN MARCO DI GROTTAGLIE'"
"79961274BE","79956000-0","SERVIZI DI ORGANIZZAZIONE DI FIERE ED ESPOSIZIONI","AFFIDAMENTO DI SERVIZI CONNESSI ALL'ORGANIZZAZIONE DI WORKSHOP/CONVEGNI PROMOSSI DALLA SEZIONE INTERNAZIONALIZZAZIONE DELLA REGIONE PUGLIA, A VALERE SUL POR PUGLIA - AZIONE 3.5 'INTERVENTI DI RAFFORZAMENTO DEI LIVELLI DI INTERNAZIONALIZZAZIONE DEI SISTEMI PRODUTTIVI'"
"7989969AFE","45246000-3","LAVORI DI REGOLAZIONE DI CORSI D'ACQUA E DI CONTROLLO DELLE PIENE","MANUTENZIONE DELLE SEZIONI DEI CORSI D'ACQUA MONITORATE DAL CENTRO FUNZIONALE DECENTRATO - ANNO 2019"
"7992995C20","80110000-8","SERVIZI DI ISTRUZIONE PRESCOLASTICA","PROCEDURA NEGOZIATA DA SVOLGERE ATTRAVERSO LA PIATTAFORMA TELEMATICA REGIONALE EMPULIA, PER L'AFFIDAMENTO, PREVIA CONSULTAZIONE DI PIÙ OPERATORI ECONOMICI, DELL'APPALTO, IN UN UNICO LOTTO,  PER IL POTENZIAMENTO DEI SERVIZI SOCIO EDUCATIVI E PER LA GESTIONE DEI SERVIZI  AUSILIARI DEGLI ASILO NIDO E DELLA SEZIONE PRIMAVERA DEI COMUNI DELL'AMBITO DI CONVERSANO (CONVERSANO - CAPOFILA, MONOPOLI E POLIGNANO A MARE)."
"7966447807","72910000-2","SERVIZI DI BACK-UP INFORMATICO","SERVIZIO DI STOCCAGGIO IN PROPRIO MAGAZZINO DI ARCHIVI AMMINISTRATIVI E SANITARI PER L'ASL DI TARANTO"
"8004260C4C","45331000-6","LAVORI DI INSTALLAZIONE DI IMPIANTI DI RISCALDAMENTO, VENTILAZIONE E CLIMATIZZAZIONE","INTERVENTI STRUTTURALI E RIFUNZIONALIZZAZIONE DELLA RESIDENZA ASSISTENZIALE SITA ALLA VIA RUSSOLILLO IN MOLA DI BARI (BA) - MESSA IN SICUREZZA IMPIANTO IDRICO E TECNOLOGICO"
"7947126FD3","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","INDIZIONE EX ART.32 C.2 D.LGS. N.50/2016 DELLA PROCEDURA TELEMATICA APERTA, DISCIPLINATA DAGLI ARTT. 23 E 60 DEL D. LGS. N. 50/2016, PER LA FORNITURA E INSTALLAZIONE 'CHIAVI IN MANO' DI PENSILI PER TERAPIA INTENSIVA PER L'UOC DI ANESTESIA E RIANIMAZIONE DEL P.O. A. PERRINO DI BRINDISI. "
"7991389ECF","45214200-2","LAVORI DI COSTRUZIONE DI EDIFICI SCOLASTICI","PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS. N. 50/2016 IN MODALITÀ TELEMATICA SULLA PIATTAFORMA EMPULIA, CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA DI CUI ALL'ART. 95 COMMA 2 DEL DLGS 50/2016 E SS.MM.II, PER L'APPALTO DEI LAVORI DI MANUTENZIONE STRAORDINARIA DELL'EDIFICIO SCOLASTICO SEDE DELLA SCUOLA ELEMENTARE E MATERNA 'SAN GIOVANNI BOSCO - INTERVENTI DI MESSA IN SICUREZZA ED ADEGUAMENTO SISMICO DELL'EDIFICIO SCOLASTICO SAN GIOVANNI BOSCO  SITO ALLA P.ZZA GARIBALDI - CORSO DANTE ALIGHIERI'"
"8001355F03","45317300-5","LAVORI DI INSTALLAZIONE ELETTRICA DI APPARECCHI DI DISTRIBUZIONE DI ELETTRICITÀ","LAVORI PER LA REALIZZAZIONE DI UN LABORATORIO PER LA RIABILITAZIONE PSICHIATRICA ATTRAVERSO LE ARTI SCENICHE E VISIVE PRESSO EC CTO DI BARI - LAVORI DI ADEGUAMENTO A NORMA DEL QUADRO ELETTRICO GENERALE SM/1 A SERVIZIO DELL'EDIFICIO SEDE DELLA DIREZIONE AZIENDALE"
"7979869C35","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","ESECUZIONE DI OPERE EDILI ED AFFINI DEDICATE A SODDISFARE LE ESIGENZE DI STRAORDINARIA MANUTENZIONE DEL PATRIMONIO IMMOBILIARE DELLA ASL DI TARANTO"
"79920700CE","55521200-0","SERVIZIO DI FORNITURA PASTI","SERVIZIO DI FORNITURA PASTI PRESSO CASA SANKARA - GHETTO OUT C/O AZIENDA AGRICOLA REGIONALE "
"797011394E","45236300-3","LAVORI DI SUPERFICIE PER CIMITERI","RISTRUTTURAZIONE E RISANAMENTO CONSERVATIVO GRUPPI DI LOCULI DA 'H' A 'R' E REALIZZAZIONE NUOVI COLOMBARI NEL CIMITERO COMUNALE"
"79645380AE","60130000-8","SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA","AFFIDAMENTO DEL SERVIZIO DI TRASPORTO SCOLASTICO PER L"
"797982256E","30210000-4","MACCHINE PER L'ELABORAZIONE DI DATI (HARDWARE)","FORNITURA ATTREZZATURE INFORMATICHE"
"795783445C","90740000-6","SERVIZI DI INDIVIDUAZIONE E MONITORAGGIO DELLE SOSTANZE INQUINANTI E DI BONIFICA","P.O.R. PUGLIA FESR 2014 - 2020 - ASSE VI 'TUTELA DELL'AMBIENTE E PROMOZIONE DELLE RISORSE NATURALI E CULTURALI' AZIONE 6.2 'INTERVENTI PER LA BONIFICA DI AREE INQUINATE'. PIANO DI CARATTERIZZAZIONE AMBIENTALE EX D.LGS. 152/2006 DELL'EX DISCARICA COMUNALE COZZAROLO."
"79880370AB","45316000-5","LAVORI DI INSTALLAZIONE DI SISTEMI DI ILLUMINAZIONE E DI SEGNALAZIONE","POTENZIAMENTO DELL'IMPIANTO DI ILLUMINAZIONE DELLO STADIO V. S. VENEZIANI"
"80019856EA","33680000-0","ARTICOLI DI FARMACIA","FORNITURA FARMACO ESTERO ESCLUSIVO CHENODEOXYCHOLIC ACID LEADIANT/CDCA LEADIANT -  LEADIANT BIOSCENCES LIMITED"
"7859320409","72250000-2","SERVIZI DI MANUTENZIONE DI SISTEMI E DI ASSISTENZA","PROCEDURA APERTA EX ARTT. 60 E 95 D.LGS N^50/2016 PER L'AFFIDAMENTO DEL SERVIZIO DI MANUTENZIONE E GESTIONE DEL PORTALE UFFICIALE DEL CONSIGLIO REGIONALE DELLA PUGLIA, DELLA RETE INTRANET ISTITUZIONALE E DEI SITI TEMATICI ASSOCIATI"
"7972305A33","45454000-4","LAVORI DI RISTRUTTURAZIONE","AEROPORTO DI BRINDISI. REALIZZAZIONE BLOCCO BAGNI INTERNO ALL’AEROSTAZIONE PASSEGGERI. "
"7933551D62","90511100-3","SERVIZI DI RACCOLTA DI RIFIUTI SOLIDI URBANI","GESTIONE DEI SERVIZI INTEGRATI DI RACCOLTA, SPAZZAMENTO DEI RIFIUTI SOLIDI URBANI ED ASSIMILATI, DELLA RACCOLTA DIFFERENZIATA/SELETTIVA E DEI SERVIZI COMPLEMENTARI RELATIVI ALL'IGIENE URBANA - GARA PONTE DI CUI ALLA L.R. 20/2016 "
"7944302566","30199770-8","BUONI PASTO","PROCEDURA APERTA PER L’AFFIDAMENTO DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE L’EROGAZIONE DI BUONI PASTO ELETTRONICI PER IL PERSONALE DIPENDENTE DI AEROPORTI DI PUGLIA S.P.A. ADDETTO AGLI SCALI DI BARI, BRINDISI, FOGGIA E GROTTAGLIE (TA)"
"7981838516","34144200-0","VEICOLI PER SERVIZI DI EMERGENZA","FORNITURA DI N. 6 PICK-UP ATTREZZATI ED ALLESTIBILI PER ATTIVITÀ DI PROTEZIONE CIVILE"
"7987896C4C","92610000-0","SERVIZI DI GESTIONE DI IMPIANTI SPORTIVI","AFFIDAMENTO IN CONCESSIONE DEL SERVIZIO DI GESTIONE DELL'IMPIANTO SPORTIVO COMUNALE DENOMINATO TURSI"
"7922246C34","30197643-5","CARTA PER FOTOCOPIE","FORNITURA QUINQUENNALE  IN REGIME DI SOMMINISTRAZIONE  DI RISME DI CARTA RICICLATA ECOLOGICA"
"7920504EA8","55523100-3","SERVIZI DI MENSA SCOLASTICA","AFFIDAMENTO IN CONCESSIONE DEL SERVIZIO DI REFEZIONE SCOLASTICA A RIDOTTO IMPATTO AMBIENTALE DA RENDERE IN FAVORE DEL COMUNE DI MARTINA FRANCA"
"7973065D5E","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","AFFIDAMENTO DEI LAVORI DI IMPERMEABILIZZAZIONE  ED ELIMINAZIONE DEL TETTO A VERDE  PRESSO IL CENTRO EDUCATIVO POLIFUNZIONALE PER L’INFANZIA DELL’AEROPORTO DI BARI PALESE"
"7982565D04","33690000-3","MEDICINALI VARI","FORNITURA QUINQUENNALE DI ANTITOSSINA DELLA DIGITALE (DIGOXINE IMMUNE FAB) FIALA DA 40 MG"
"7964553D0B","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","KIT CAMBIO SACCA"
"7958474481","33141600-6","RECIPIENTI E SACCHE DI RACCOLTA, MATERIALE DI DRENAGGIO","AGO-ELETRODO (EMG) CONCETRICO  LOTTO1"
"79587242D0","33198200-6","SACCHETTI O INVOLUCRI DI CARTA PER LA STERILIZZAZIONE","MEDICAZIONI STERILI IN NASTRO DI POLIUTERANO, CON TAGLIO E FORO CENTRALE PER TRACHEOTOMIA PRIVE DI LATTICE LOTTO 1"
"7964581429","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA PER LA FORNITURA DI CLIPS IN POLIMERO MISURE: L - XL - MEDIA"
"7973856A20","45454000-4","LAVORI DI RISTRUTTURAZIONE","INTERVENTO DI MESSA IN SICUREZZA DELL'EDIFICIO SCOLASTICO DI VIA DANTE ALIGHIERI"
"79769481BC","45213312-3","LAVORI DI COSTRUZIONE DI EDIFICI PER IL PARCHEGGIO DI VEICOLI","REALIZZAZIONE DELLA VELOSTAZIONE DENOMINATA 'FRANCO BALLERINI', NELLA PIAZZA STALLONE DI GIOVINAZZO"
"7948849DB1","42933300-8","DISTRIBUTORI AUTOMATICI DI PRODOTTI","PROCEDURA EX ARTT.60 E 164 DEL D.LGS. 50/2016 PER LA CONCESSIONE IN USO DI SPAZI PER IL SERVIZIO DI DISTRIBUZIONE AUTOMATICA DI GENERI DI RISTORO/CONFORTO NELL'ASL BT."
"7977220232","42914000-6","IMPIANTI DI RICICLAGGIO","FORNITURA IN OPERA DI N. 2 PRESSE STAZIONARIE ELETTRO-IDRAULICHE E N. 4 CASSONI DA 30 MC. A CIELO CHIUSO"
"7974928EC3","33680000-0","ARTICOLI DI FARMACIA","PROC. NEGOZ. TELEMATICA AI SENSI DELL' ART. 63 COMMA 2, LETT. C) DEL D.LGS 50/2016 PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO PIPERACILLINA TAZOBACTAM 4,5G "
"79341560A9","71335000-5","STUDI DI INGEGNERIA","AFFIDAMENTO SERVIZI DI PROGETTAZIONE E DIREZIONE LAVORI PER RIUTILIZZO ACQUE REFLUE."
"7862646CBA","98341140-8","SERVIZI DI VIGILANZA DI EDIFICI","AFFIDAMENTO DEL SERVIZIO DI VIGILANZA ARMATA OCCORRENTE ALL'I.R.C.C.S. ISTITUTO TUMORI 'GIOVANNI PAOLO II' DI BARI"
"7974189CEC","55320000-9","SERVIZI DI DISTRIBUZIONE PASTI","SERVIZIO DI DISTRIBUZIONE AUTOMATICA DI BEVANDE CALDE E FREDDE E DI ALIMENTI CONFEZIONATI PER LA DURATA DI 36 MESI PER LA SEDE SOCIETARIA DI MODUGNO "
"7977432125","42716000-8","LAVATRICI PER LAVANDERIA, MACCHINE PER LAVAGGIO A SECCO ED ASCIUGATRICI","SISTEMI PER IL DOSAGGIO AUTOMATICO DI DETERGENTI PER LAVATRICI INDUSTRIALI CON SERVIZIO DI SOMMINISTRAZIONE DI PRODOTTI PER LA SANIFICAZIONE, STERILIZZAZIONE E L'IMPREGNAZIONE DI FRANGE "
"791620208D","55510000-8","SERVIZI DI MENSA","AFFIDAMENTO DI DURATA SESSENNALEDEL SERVIZIO MENSA PER LE ESIGENZE DELL'ADISU PUGLIA"
"7843547BBC","45212170-8","LAVORI DI COSTRUZIONE DI EDIFICI PER ATTIVITÀ RICREATIVE","LAVORI DI RIQUALIFICAZIONE URBANA E SICUREZZA DELLE PERIFERIE - AGORA' SICURE"
"7958564EC3","18130000-9","INDUMENTI DA LAVORO SPECIALI","FORNITURA DI MASSA VESTIARIO ESTIVO ED INVERNALE PER GLI OPERATORI UNICI AEROPORTUALE AVENTI DIRITTO DEGLI AEROPORTI DI BARI BRINDISI FOGGIA E GROTTAGLIE"
"7974364D56","45213210-8","IMPIANTI FRIGORIFERI","SOSTITUZIONE GRUPPO FRIGO PER L'IMPIANTO DI CLIMATIZZAZIONEA SERVIZIO DEL PRONTO SOCCORSO SITO AL PIANO TERRA DEL MONOBLOCCO DEL PRESIDIO OO.RR. DI FOGGIA"
"7920197154","45246410-0","MANUTENZIONE DI IMPIANTI DI DIFESA DALLE PIENE","MANUTENZIONE DELLE SEZIONI DEI CORSI D'ACQUA MONITORATE DAL CENTRO FUNZIONALE DECENTRATO - ANNO 2019"
"788600378A","98341140-8","SERVIZI DI VIGILANZA DI EDIFICI","GARA PONTE CON PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO DI VIGILANZA DELL'ASL BR"
"7957823B46","33141600-6","RECIPIENTI E SACCHE DI RACCOLTA, MATERIALE DI DRENAGGIO","SACCHE DI ACQUA DISTILATA STERILE PER INALAZIONI LOTTO 1"
"7978259B98","30124400-8","CARTUCCE DI PUNTI METALLICI","PROCEDURA TELEMATICA URGENTE AI SENSI DELL'ART.36 COMMA 2 LETT. B) DEL D.LGS. N.50/2016 DA AGGIUDICARE CON I CRITERI DELL'ART.95 C.4 DELLO STESSO DECRETO (MINOR PREZZO) DA ESPLETARSI MEDIANTE L'UTILIZZO ESCLUSIVO DEL PORTALE WWW.EMPULIA.IT NELLA MODALITA' 'AVVISI' PER LA SOMMINISTRAZIONE CONTINUATIVA E PERIODICA DI TONER, CARTUCCE DRUMS ORIGINALI, OCCORRENTI A VARI REPARTI E SERVIZI DEI PP.OO. 'SEN. A. PERRINO' DI BRINDISI , 'D. CAMBERLINGO' DI FRANCAVILLA FONTANA, 'N. MELLI' DI SAN PIETRO VERNOTICO, P.O. DI OSTUNI PER IL FABBISOGNO DI 12 MESI"
"7938660579","34144900-7","VEICOLI ELETTRICI","FORNITURA DI N.2 AUTOVEICOLI ELETTRICI (MINIBUS) PER IL TRASPORTO DI PERSONE "
"7946777FD2","71221000-3","SERVIZI DI PROGETTAZIONE DI EDIFICI","AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE DEFINITIVA/ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE DEI 'LAVORI DI ADEGUAMENTO DEI LOCALI EX MEDICINA DEL P.O. DI VENERE DA ADIBIRE AD U.O. MEDICINA FETALE E U.O.C. GENETICA MEDICA"
"7968934C5C","19640000-4","SACCHI E SACCHETTI DI POLIETILENE PER RIFIUTI"," SACCHI PER NU "
"794323875B","45443000-4","LAVORI DI FACCIATA","LAVORI DI EFFICIENTAMENTO ENERGETICO DELLINVOLUCRO E DI RIQUALIFICAZIONE DELLE FACCIATE E DEGLI SPAZI ESTERNI DELLA SEDE DI UFFICI REGIONALI SITA IN LECCE"
"7940804EBF","85310000-5","SERVIZI DI ASSISTENZA SOCIALE","SERVIZIO ADI PER N.12 MESI, 7 GIORNI SU 7 COMPRESI I FESTIVI PER N.2 ASSISTITI DI UN DISTRETTO DELLA ASL DI TARANTO"
"79277255A0","30234000-8","SUPPORTI DI MEMORIZZAZIONE","FORNITURA TRIENNALE DI CD E DVD DA UTILIZZARSI PER LE STAMPANTI A GETTO DI INCHIOSTRO IN DOTAZIONE PRESSO IL DIPARTIMENTO DI DIAGNOSTICA PER IMMAGINI"
